id,name,twolettercode,threelettercode,designator,alliance,aviation,sea,land,rail,validfrom,validto
175,ZIM,,,,,f,t,f,f,2019-01-01 00:00:00+00,
176,ONE,,,,,f,t,f,f,2019-01-01 00:00:00+00,
177,Abelag Aviation,W9,AAB,,,t,f,f,f,2019-01-01 00:00:00+00,
178,Aberdeen Airways,SM,AAW,,,t,f,f,f,2020-06-02 00:00:00+00,
179,ABSA Cargo,M3,TUS,,,t,f,f,f,2020-06-02 00:00:00+00,
180,Abu Dhabi Amiri Flight,MO,AUH,,,t,f,f,f,2020-06-02 00:00:00+00,
181,Aero Asia International,E4,RSO,,,t,f,f,f,2020-06-02 00:00:00+00,
182,Aero Nova,,OVA,,,t,f,f,f,2020-06-02 00:00:00+00,
183,Aero VIP,2D,AOG,,,t,f,f,f,2020-06-02 00:00:00+00,
184,Aero-Charter Ukraine,DW,UCR,,,t,f,f,f,2020-06-02 00:00:00+00,
185,Aero-Service,BF,RSR,,,t,f,f,f,2020-06-02 00:00:00+00,
186,Aero4m,,AEH,,,t,f,f,f,2020-06-02 00:00:00+00,
187,Aerolneas Argentinas,AR,ARG,,,t,f,f,f,2020-06-02 00:00:00+00,
188,Aerologic,3S,BOX,,,t,f,f,f,2020-06-02 00:00:00+00,
189,Aeromxico,AM,AMX,,,t,f,f,f,2020-06-02 00:00:00+00,
190,AeroRepblica,P5,RPB,,,t,f,f,f,2020-06-02 00:00:00+00,
191,AeroSur,5L,RSU,,,t,f,f,f,2020-06-02 00:00:00+00,
192,Aerosvit Airlines,VV,AEW,,,t,f,f,f,2020-06-02 00:00:00+00,
193,Aerotal Aerolneas Territoriales de Colombia Ltda.,,ART,,,t,f,f,f,2020-06-02 00:00:00+00,
194,Africa West,FK,WTA,,,t,f,f,f,2020-06-02 00:00:00+00,
195,African Business and Transportations,,ABB,,,t,f,f,f,2020-06-02 00:00:00+00,
196,African Safari Airways,QS,QSC,,,t,f,f,f,2020-06-02 00:00:00+00,
197,Afrijet Airlines,,FRJ,,,t,f,f,f,2020-06-02 00:00:00+00,
198,Afriqiyah Airways,8U,AAW,,,t,f,f,f,2020-06-02 00:00:00+00,
199,Aigle Azur,ZI,AAF,,,t,f,f,f,2020-06-02 00:00:00+00,
200,Air Algrie,AH,DAH,,,t,f,f,f,2020-06-02 00:00:00+00,
201,Air Antwerp,WP,ATW,,,t,f,f,f,2020-06-02 00:00:00+00,
202,Air Arabia Maroc,3O,MAC,,,t,f,f,f,2020-06-02 00:00:00+00,
203,Air Atlanta Icelandic,CC,ABD,,,t,f,f,f,2020-06-02 00:00:00+00,
204,Air Austral,UU,REU,,,t,f,f,f,2020-06-02 00:00:00+00,
205,Air Baltic,BT,BTI,,,t,f,f,f,2020-06-02 00:00:00+00,
206,Air BC,ZX,ABL,,,t,f,f,f,2020-06-02 00:00:00+00,
207,Air Cairo,,MSC,,,t,f,f,f,2020-06-02 00:00:00+00,
208,Air Canada Rouge,RV,ROU,,,t,f,f,f,2020-06-02 00:00:00+00,
209,Air Carabes,TX,FWI,,,t,f,f,f,2020-06-02 00:00:00+00,
210,Air Chathams,CV,CVA,,,t,f,f,f,2020-06-02 00:00:00+00,
211,Air Corsica,XK,CCM,,,t,f,f,f,2020-06-02 00:00:00+00,
212,Air Dolomiti,EN,DLA,,,t,f,f,f,2020-06-02 00:00:00+00,
213,Air Enterprise,KD,AEN,,,t,f,f,f,2020-06-02 00:00:00+00,
214,Air Europe Italy,PE,AEL,,,t,f,f,f,2020-06-02 00:00:00+00,
215,Air Fiji,PC,FAJ,,,t,f,f,f,2020-06-02 00:00:00+00,
216,Air Foyle,GS,UPA,,,t,f,f,f,2020-06-02 00:00:00+00,
217,Air Gabon,GN,AGN,,,t,f,f,f,2020-06-02 00:00:00+00,
218,Air Iceland,NY,FXI,,,t,f,f,f,2020-06-02 00:00:00+00,
219,Air India Limited,AI,AIC,,,t,f,f,f,2020-06-02 00:00:00+00,
220,Air Italy,IG,AEY,,,t,f,f,f,2020-06-02 00:00:00+00,
221,Air Madrid,NM,DRD,,,t,f,f,f,2020-06-02 00:00:00+00,
222,Air Mali,L9,MLI,,,t,f,f,f,2020-06-02 00:00:00+00,
223,Air Mauritius,MK,MAU,,,t,f,f,f,2020-06-02 00:00:00+00,
224,Air Mediterranean,MV,RML,,,t,f,f,f,2020-06-02 00:00:00+00,
225,Air Mediterranee,ML,BIE,,,t,f,f,f,2020-06-02 00:00:00+00,
226,Air Mekong,P8,MKG,,,t,f,f,f,2020-06-02 00:00:00+00,
227,Air Moldova,9U,MLD,,,t,f,f,f,2020-06-02 00:00:00+00,
228,Air Nippon,EL,ANK,,,t,f,f,f,2020-06-02 00:00:00+00,
229,Air Nostrum,YW,ANE,,,t,f,f,f,2020-06-02 00:00:00+00,
230,Air Pullmantur,,PLM,,,t,f,f,f,2020-06-02 00:00:00+00,
231,Air Senegal International,V7,SNG,,,t,f,f,f,2020-06-02 00:00:00+00,
232,Air Serbia,JU,ASL,,,t,f,f,f,2020-06-02 00:00:00+00,
233,Air Sicilia,BM,,,,t,f,f,f,2020-06-02 00:00:00+00,
234,Air Slovakia,GM,SVK,,,t,f,f,f,2020-06-02 00:00:00+00,
